,Timestamp,Latitude,Longitude,Altitude,Speed_gps,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,Max_Emotion,ts,expressed_emotion,road_type,max_speed,lanes,weather_time,weather_term,feeltemp_outside,windspeed,cloud_coverage,trafficflow_reducedspeed,trafficflow_confidence,freeflow_speed
0,2021-03-16 15:21:05.000684261,48.515071066588,9.201811001271613,398.5728772068396,0.0,0.0,0.004,0.0,0.0,0.136,0.86,0.0,0.0,neutral,2021-03-16 15:21:05.000684261,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
1,2021-03-16 15:21:06.000694752,48.515071066588,9.201811001271613,398.5728772068396,0.0,0.0,0.001,0.0,0.0,0.623,0.376,0.0,0.0,happiness,2021-03-16 15:21:06.000694752,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
2,2021-03-16 15:21:07.000701904,48.515071066588,9.201811001271613,398.5728772068396,0.0,0.0,0.0,0.0,0.0,0.963,0.037000000000000005,0.0,0.0,happiness,2021-03-16 15:21:07.000701904,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
3,2021-03-16 15:21:08.000710487,48.515071066588,9.201811001271613,398.5728772068396,0.0,0.0,0.001,0.0,0.0,0.917,0.08199999999999999,0.0,0.0,happiness,2021-03-16 15:21:08.000710487,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
4,2021-03-16 15:21:09.000718832,48.515071066588,9.201811001271613,398.5728772068396,0.0,,,,,,,,,,2021-03-16 15:21:09.000718832,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
5,2021-03-16 15:21:10.000725746,48.515071066588,9.201811001271613,398.5728772068396,0.0,,,,,,,,,,2021-03-16 15:21:10.000725746,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
6,2021-03-16 15:21:11.000733852,48.515071066588,9.201811001271613,398.5728772068396,0.0,,,,,,,,,,2021-03-16 15:21:11.000733852,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
7,2021-03-16 15:21:12.000741959,48.515071066588,9.201811001271613,398.5728772068396,0.0,,,,,,,,,,2021-03-16 15:21:12.000741959,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
8,2021-03-16 15:21:13.000748158,48.51503603351881,9.201810982153633,399.11033125780517,1.1818810612014732,,,,,,,,,,2021-03-16 15:21:13.000748158,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
9,2021-03-16 15:21:14.000757694,48.51503668809038,9.201815962414557,399.1387491654605,0.0,,,,,,,,,,2021-03-16 15:21:14.000757694,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
10,2021-03-16 15:21:15.000765800,48.514994182226076,9.201877824969195,400.5620445357636,3.191842076868257,,,,,,,,,,2021-03-16 15:21:15.000765800,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
11,2021-03-16 15:21:16.000773668,48.51494576533501,9.201906257541983,400.9061279315502,3.635355967229213,,,,,,,,,,2021-03-16 15:21:16.000773668,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
12,2021-03-16 15:21:17.000783443,48.51489133166129,9.2019359946423,400.92102349828934,3.791124518935277,,,,,,,,,,2021-03-16 15:21:17.000783443,happiness,secondary,60.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
13,2021-03-16 15:21:18.000791073,48.51482537397458,9.201973105566324,402.10322661232203,5.417411361080184,,,,,,,,,,2021-03-16 15:21:18.000791073,happiness,primary,60.0,1.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
14,2021-03-16 15:21:19.000799656,48.51474934236702,9.20200857669026,401.4355229996145,7.170049241641125,,,,,,,,,,2021-03-16 15:21:19.000799656,happiness,primary,60.0,1.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
15,2021-03-16 15:21:20.000808477,48.51466733219327,9.202041165647016,401.837164173834,8.660097937816174,,,,,,,,,,2021-03-16 15:21:20.000808477,happiness,primary,60.0,1.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
16,2021-03-16 15:21:21.000814438,48.51457116350994,9.202074279070702,402.3895501457155,10.03477974424949,,,,,,,,,,2021-03-16 15:21:21.000814438,happiness,primary,60.0,1.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
17,2021-03-16 15:21:22.000823498,48.51445986588815,9.202109003071081,403.0133607909083,11.536918846748922,,,,,,,,,,2021-03-16 15:21:22.000823498,happiness,path,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
18,2021-03-16 15:21:23.000831604,48.51433979987614,9.202143991523226,403.6412193877623,12.480862538019386,,,,,,,,,,2021-03-16 15:21:23.000831604,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
19,2021-03-16 15:21:24.000840902,48.51422537545048,9.202172275994572,404.3678347319365,12.466253138690163,,,,,,,,,,2021-03-16 15:21:24.000840902,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
20,2021-03-16 15:21:25.000847340,48.51411091577452,9.202211643595524,405.07230500876886,12.787601401641126,,,,,,,,,,2021-03-16 15:21:25.000847340,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
21,2021-03-16 15:21:26.000857353,48.51398842723589,9.202254932923159,405.7802805146202,13.465286806025665,,,,,,,,,,2021-03-16 15:21:26.000857353,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
22,2021-03-16 15:21:27.000865698,48.51385987874626,9.2022989242479,406.7010735515505,14.127877267134554,,,,,,,,,,2021-03-16 15:21:27.000865698,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
23,2021-03-16 15:21:28.000873804,48.513726466536376,9.202343133963684,407.8385734390468,14.55417143647879,,,,,,,,,,2021-03-16 15:21:28.000873804,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
24,2021-03-16 15:21:29.000879765,48.513595031080435,9.202388060563576,408.79325028229516,14.501401109858485,,,,,,,,,,2021-03-16 15:21:29.000879765,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
25,2021-03-16 15:21:30.000887632,48.5134680142016,9.202439699040077,410.1162046510726,14.396764260868967,,,,,,,,,,2021-03-16 15:21:30.000887632,happiness,track,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
26,2021-03-16 15:21:31.000897884,48.51334483817392,9.202494495146807,410.30457114055747,14.251010275726006,,,,,,,,,,2021-03-16 15:21:31.000897884,happiness,primary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
27,2021-03-16 15:21:32.000905514,48.513227993886616,9.202555886112773,410.2981203552336,13.825021607042947,,,,,,,,,,2021-03-16 15:21:32.000905514,happiness,primary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
28,2021-03-16 15:21:33.000913143,48.51311965121482,9.20261867874185,410.721656171605,13.178582609410315,,,,,,,,,,2021-03-16 15:21:33.000913143,happiness,primary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
29,2021-03-16 15:21:34.000926495,48.513016100189475,9.202680519421953,410.8101494051516,12.631835140402222,,,,,,,,,,2021-03-16 15:21:34.000926495,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
30,2021-03-16 15:21:35.000935793,48.512924693954155,9.202745146005665,411.5526366923005,11.880136071343285,,,,,,,,,,2021-03-16 15:21:35.000935793,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
31,2021-03-16 15:21:36.000938892,48.51283276832205,9.202799671338218,411.5971372080967,11.076471024987207,,,,,,,,,,2021-03-16 15:21:36.000938892,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
32,2021-03-16 15:21:37.000945091,48.512755815930994,9.202853311127054,412.0042868107557,10.054950283775264,,,,,,,,,,2021-03-16 15:21:37.000945091,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
33,2021-03-16 15:21:38.000954390,48.512686409043035,9.202905696438384,411.8837248859928,9.135608078432877,,,,,,,,,,2021-03-16 15:21:38.000954390,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
34,2021-03-16 15:21:39.000961781,48.512632778465786,9.202947314611569,411.7663932107389,7.596882431872253,,,,,,,,,,2021-03-16 15:21:39.000961781,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
35,2021-03-16 15:21:40.000971317,48.512591515267744,9.202983635155565,411.79534831736237,6.2802719621178245,,,,,,,,,,2021-03-16 15:21:40.000971317,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
36,2021-03-16 15:21:41.013422012,48.512591515267744,9.202983635155565,411.79534831736237,6.2802719621178245,,,,,,,,,,2021-03-16 15:21:41.013422012,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
37,2021-03-16 15:21:42.029827118,48.51256077036489,9.203009398337828,412.15865719038993,4.8445259181093325,,,,,,,,,,2021-03-16 15:21:42.029827118,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
38,2021-03-16 15:21:43.461935997,48.51253991005362,9.203029071265842,412.61582980025565,1.726984631716736,,,,,,,,,,2021-03-16 15:21:43.461935997,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
39,2021-03-16 15:21:44.042319059,48.51253991005362,9.203029071265842,412.61582980025565,1.726984631716736,,,,,,,,,,2021-03-16 15:21:44.042319059,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
40,2021-03-16 15:21:45.062188148,48.51254210188444,9.203023728124142,413.14049354288727,0.6450977725110881,,,,,,,,,,2021-03-16 15:21:45.062188148,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
41,2021-03-16 15:21:46.057857990,48.512540021630365,9.2030194688942,412.94637634884566,0.0,,,,,,,,,,2021-03-16 15:21:46.057857990,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
42,2021-03-16 15:21:47.074173927,48.51253910585889,9.203016234065672,413.48602220695466,0.0,,,,,,,,,,2021-03-16 15:21:47.074173927,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
43,2021-03-16 15:21:48.095710993,48.5125356268195,9.203016044696902,413.0515775457025,0.0,,,,,,,,,,2021-03-16 15:21:48.095710993,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
44,2021-03-16 15:21:49.110429049,48.51252310014821,9.203023405145206,413.92819761857385,1.1029128309138942,,,,,,,,,,2021-03-16 15:21:49.110429049,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
45,2021-03-16 15:21:50.111276150,48.51249906314784,9.203045911865852,414.1652101138608,2.4243571854760058,,,,,,,,,,2021-03-16 15:21:50.111276150,happiness,tertiary,50.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
46,2021-03-16 15:21:51.116199970,48.51246580733668,9.203074124981628,413.693428450264,3.5062386566586663,,,,,,,,,,2021-03-16 15:21:51.116199970,happiness,footway,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
47,2021-03-16 15:21:52.126281976,48.51241922862051,9.203112246935536,413.81680775899434,4.796149593691372,,,,,,,,,,2021-03-16 15:21:52.126281976,happiness,footway,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
48,2021-03-16 15:21:53.151725054,48.512309130174245,9.203203999908169,413.4123943047598,6.287098005944443,,,,,,,,,,2021-03-16 15:21:53.151725054,happiness,footway,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
49,2021-03-16 15:21:55.000081062,48.51217677768445,9.203329782528233,413.3281485531479,8.540712072460392,,,,,,,,,,2021-03-16 15:21:55.000081062,happiness,footway,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
50,2021-03-16 15:21:56.000087500,48.51209433121307,9.20341054450205,413.0237543452532,9.803257735618416,,,,,,,,,,2021-03-16 15:21:56.000087500,happiness,footway,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
51,2021-03-16 15:21:57.000075340,48.51200492575792,9.203486518913678,412.0504564419389,10.4179391873958,,,,,,,,,,2021-03-16 15:21:57.000075340,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
52,2021-03-16 15:21:58.000077248,48.511912127871675,9.203555351266466,411.6019696937874,10.845579847321174,,,,,,,,,,2021-03-16 15:21:58.000077248,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
53,2021-03-16 15:21:59.000062704,48.51181260956359,9.203620723025011,411.2644347893074,11.395765438738591,,,,,,,,,,2021-03-16 15:21:59.000062704,happiness,path,,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
54,2021-03-16 15:22:00.000063181,48.51170967996504,9.203678072634233,410.3957624062896,11.950304556226099,,,,,,,,,,2021-03-16 15:22:00.000063181,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
55,2021-03-16 15:22:01.000046253,48.511604096060886,9.203734502863648,409.661550257355,12.1607693837255,,,,,,,,,,2021-03-16 15:22:01.000046253,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
56,2021-03-16 15:22:02.000051498,48.51151553184168,9.203772518727424,408.2834077822045,10.651543118142998,,,,,,,,,,2021-03-16 15:22:02.000051498,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
57,2021-03-16 15:22:03.000056267,48.51144993100401,9.203793560885373,406.8086577337235,8.509555615450367,,,,,,,,,,2021-03-16 15:22:03.000056267,happiness,primary,50.0,2.0,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
58,2021-03-16 15:22:04.000061512,48.51141172310238,9.203802703760292,407.1882439600304,6.159570905438343,,,,,,,,,,2021-03-16 15:22:04.000061512,happiness,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
59,2021-03-16 15:22:05.000067234,48.5113887011391,9.203811089827587,407.13810908421874,4.205965369613228,,,,,,,,,,2021-03-16 15:22:05.000067234,happiness,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
60,2021-03-16 15:22:06.000083447,48.51138318414983,9.203822472326722,407.71442959364487,2.5858353790114075,,,,,,,,,,2021-03-16 15:22:06.000083447,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
61,2021-03-16 15:22:07.000079155,48.511386395557935,9.20382739942179,407.7580771679058,1.3119248112625377,,,,,,,,,,2021-03-16 15:22:07.000079155,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
62,2021-03-16 15:22:08.000084877,48.511388598978854,9.203822297570342,407.81401559058577,0.5249026106092698,,,,,,,,,,2021-03-16 15:22:08.000084877,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
63,2021-03-16 15:22:09.000091553,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:09.000091553,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
64,2021-03-16 15:22:10.000097036,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:10.000097036,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
65,2021-03-16 15:22:11.000104427,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:11.000104427,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
66,2021-03-16 15:22:12.000111103,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:12.000111103,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
67,2021-03-16 15:22:13.111445904,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:13.111445904,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
68,2021-03-16 15:22:14.000123024,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:14.000123024,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
69,2021-03-16 15:22:15.000129223,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:15.000129223,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
70,2021-03-16 15:22:16.000135422,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:16.000135422,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
71,2021-03-16 15:22:17.000144005,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:17.000144005,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
72,2021-03-16 15:22:18.000150204,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:18.000150204,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
73,2021-03-16 15:22:19.000157118,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:19.000157118,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
74,2021-03-16 15:22:20.000164032,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:20.000164032,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
75,2021-03-16 15:22:21.000171661,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:21.000171661,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
76,2021-03-16 15:22:22.000178814,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:22.000178814,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
77,2021-03-16 15:22:23.000186443,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:23.000186443,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
78,2021-03-16 15:22:24.000191927,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:24.000191927,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
79,2021-03-16 15:22:25.000201941,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:25.000201941,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
80,2021-03-16 15:22:26.000207186,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:26.000207186,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
81,2021-03-16 15:22:27.000216484,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:27.000216484,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
82,2021-03-16 15:22:28.000222445,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:28.000222445,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
83,2021-03-16 15:22:29.000229359,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:29.000229359,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
84,2021-03-16 15:22:30.000237465,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:30.000237465,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
85,2021-03-16 15:22:31.000245094,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:31.000245094,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
86,2021-03-16 15:22:32.000252247,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:32.000252247,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
87,2021-03-16 15:22:33.000260353,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:33.000260353,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
88,2021-03-16 15:22:34.000268459,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:34.000268459,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
89,2021-03-16 15:22:35.000274181,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:35.000274181,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
90,2021-03-16 15:22:36.000283241,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:36.000283241,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
91,2021-03-16 15:22:37.000290394,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:37.000290394,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
92,2021-03-16 15:22:38.000296593,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:38.000296593,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
93,2021-03-16 15:22:39.000304222,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:39.000304222,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
94,2021-03-16 15:22:40.000311852,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:40.000311852,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
95,2021-03-16 15:22:41.000319958,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:41.000319958,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
96,2021-03-16 15:22:42.000328064,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:42.000328064,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
97,2021-03-16 15:22:43.000335217,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:43.000335217,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
98,2021-03-16 15:22:44.000344753,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:44.000344753,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
99,2021-03-16 15:22:45.000350475,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:45.000350475,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
100,2021-03-16 15:22:46.000359535,48.51139150214965,9.203825354729467,407.69483308866614,0.0,,,,,,,,,,2021-03-16 15:22:46.000359535,surprise,residential,30.0,,2021-03-18T09:13:00+00:00,Mostly cloudy,3.1,5.3,76,0.0,1.0,117.0
